,,,,,,,,,
Mouse ID,Genotype,Sex,POVPC Tissue Concentration (ng/mg),PGPC Tissue Concentration (ng/mg),POBPC Tissue Concentration (ng/mg),POnPC Tissue Concentration (ng/mg),oxPAPC6 (620/184),oxPAPC9 (626/184),oxPAPC11 (638/184)
232,WT,F,0.05973529412,,0.07470588235,0.1562941176,,,
234,WT,F,0.008472321429,0.0003677678571,0.04400892857,0.07208035714,0.3577097506,,0.2297052154
235,WT,F,0.04111016949,0.00008618644068,0.1666779661,0.168279661,0.1275398406,,0.2171314741
236,WT,F,0.02093529412,0.002325588235,0.039,0.2066764706,0.009729891957,,0.1109243697
352,WT,F,0.05390816327,0.006587755102,0.05874489796,0.6094897959,0.2145718578,,0.2790686029
371,WT,F,0.0129825,,0.073975,0.064525,0.4183271177,0.3004794885,0.09675013319
226,WT,M,0.1216595745,0.0187212766,0.03810638298,0.1864787234,0.1468362688,0.4033268102,
227,WT,M,0.06393333333,,0.03363333333,0.1612333333,0.003845788849,0.07674970344,
237,WT,M,0.04003333333,0.0058,0.08596666667,0.1261333333,0.5907906169,2.36967854,0.1901172893
276,WT,M,0.03849152542,,0.06813559322,0.108559322,0.2472559214,,
346,WT,M,0.07515789474,0.01206578947,0.08318421053,0.09913157895,,0.1613674263,
356,WT,M,0.02997169811,0.00005199056604,0.03458490566,0.04296226415,,,
375,WT,M,0.05225,0.0273125,0.127625,0.15596875,0.09254624592,0.0416594124,0.04585963003
389,WT,M,0.03127777778,,0.17725,0.05536111111,,0.3764011799,
397,WT,M,0.03388235294,,0.05229411765,0.05264705882,0.1700191571,0.1824712644,0.208045977
26,HET,F,0.06708139535,0.003805813953,0.04813953488,0.2150232558,0.1956129032,0.2411612903,0.1098064516
231,HET,F,0.02509,,0.058,0.05346666667,0.2370329057,0.3285554936,
255,HET,F,0.03891818182,,0.07104545455,0.08648181818,,,
348,HET,F,0.06584375,0.000795,0.06653125,0.06821875,0.2319339623,,0.1124056604
370,HET,F,0.02890909091,,0.2527159091,0.07595454545,,0.9313388916,0.05404610103
379,HET,F,0.07407352941,0.006639705882,0.09063970588,0.08680147059,,0.4282754759,
380,HET,F,0.043975,,0.1745,0.095275,0.2360248447,0.5168219462,
384,HET,F,0.04282352941,,0.05144117647,0.1002352941,0.1422764228,0.1968563686,
429,HET,F,0.048,0.004138095238,0.1309285714,0.06626190476,0.2542283298,,0.1216701903
495,HET,F,0.01770272727,,0.2522454545,0.04579090909,0.3410475681,0.1910742918,0.1403527525
496,HET,F,0.025925,,0.076225,0.061275,0.2104228962,0.6651003845,0.07061085006
497,HET,F,0.13209375,,0.1170703125,0.1589296875,0.006026022305,#VALUE!,
50,HET,M,0.04425,,0.09816346154,0.1137115385,0.09388067313,0.2001019888,
229,HET,M,0.04408474576,0.007855932203,0.04466949153,0.09912711864,0.2113941967,0.3300778485,
230,HET,M,0.014631,,0.14217,0.0477,0.2935190145,,0.3108194965
238,HET,M,0.02137142857,0.01001666667,0.09088095238,0.04816666667,,0.2416506718,0.0580806142
258,HET,M,0.045225,0.003075,0.129225,0.1387,0.1691508858,0.06835675015,0.1821624924
263,HET,M,0.01805294118,,0.03732352941,0.04829411765,,0.1036734694,0.1417492711
275,HET,M,0.048525,,0.0869,0.0946,,0.5581395349,
308,HET,M,0.017295,,0.10329,0.07317,,0.2244293646,
345,HET,M,0.2017153846,0.009336923077,0.09782307692,0.3170769231,0.5075362319,0.5100289855,
347,HET,M,0.06034090909,,0.1212272727,0.06054545455,0.3835482207,0.1395564724,
350,HET,M,0.1154454545,0.003777272727,0.07802727273,0.2448,0.2636741974,0.1241973841,
373,HET,M,0.07956818182,0.006788636364,0.07206818182,0.06636363636,0.07622820919,0.8700475436,
377,HET,M,0.1025277778,,0.1093888889,0.1734444444,0.6284488044,,0.05565297364
385,HET,M,0.01914489796,,0.0975,0.04108163265,0.1630162703,0.2458072591,0.05882978723
500,HET,M,0.03307666667,,0.1588666667,0.06353333333,0.3555498721,0.06286445013,0.1442455243
353,MUT,F,0.03252,,0.10158,0.03252,0.2773998488,0.1833711262,0.2082388511
369,MUT,F,0.05273333333,,0.08943333333,0.1086666667,0.2662957075,0.2688924218,0.06014838368
381,MUT,F,0.02315487805,,0.03885365854,0.08129268293,0.007463167587,,
390,MUT,F,0.05397457627,,0.09068644068,0.09986440678,0.07013319672,0.478432377,
498,MUT,F,0.08366037736,0.006498113208,0.157245283,0.1464622642,0.1517269076,0.1498795181,
228,MUT,M,0.01845,,0.01293823529,0.05717647059,,,
262,MUT,M,0.03466304348,,0.03583695652,0.05791304348,0.162571977,0.3378758797,0.07261676264
264,MUT,M,0.01280538462,,0.04673076923,0.03339230769,0.2500541126,0.1338203463,0.06314935065
299,MUT,M,0.05176271186,,0.05122881356,0.1019745763,,0.06155007549,0.0309964771
305,MUT,M,0.1411339286,0.02215714286,0.1178839286,0.1743482143,0.1243226601,0.3391625616,
451,MUT,M,0.1363043478,,0.6469565217,0.3756521739,,,
499,MUT,M,0.006263265306,,,0.02221836735,0.206384743,0.4820066335,
