"","pathway","pval","padj","log2err","ES","NES","size"
"1","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.198487712665406,0.43893601066863,0.133554954557592,-0.317580870810521,-1.1521143677584,78
"2","REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.611001964636542,0.83522886869787,0.0679922591544058,-0.344932220041989,-0.897214799735335,16
"3","REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.186612576064909,0.421690068729199,0.143758989039275,0.486647079851483,1.25952604360715,16
"4","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.799599198396794,0.942077278852107,0.0560595875032335,0.282880262899318,0.773200413515146,20
"5","REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",0.994285714285714,1,0.0437125833579551,-0.174914844767556,-0.599956368107182,58
"6","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.643892339544513,0.847897833261587,0.0679922591544058,0.28534088169499,0.905735355484568,35
"7","REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.77755905511811,0.92414314516129,0.0565299525056311,0.345337468132586,0.780547640631309,10
"8","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.620825147347741,0.83522886869787,0.0672065093710464,-0.343828937300348,-0.894345013885894,16
"9","REACTOME_ACTIVATION_OF_G_PROTEIN_GATED_POTASSIUM_CHANNELS",0.743951612903226,0.90302340497119,0.0597317976364411,0.2757298444111,0.827654027245757,27
"10","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.230460921843687,0.469494788263617,0.126875729929857,-0.46912678075201,-1.19818863899505,15
"11","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.423892100192678,0.682774299791321,0.0860347242455604,-0.338733941793178,-1.02682274559815,32
"12","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.882352941176471,0.988532597154385,0.0520570030732099,0.255599112339641,0.717999850669775,22
"13","REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",0.566596194503171,0.801673339031083,0.0755015292281669,0.284434023365415,0.946373664293789,45
"14","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.431211498973306,0.690977462210237,0.0886261133285098,0.325204304136852,1.02122227764274,33
"15","REACTOME_ACTIVATION_OF_SMO",0.857707509881423,0.97430647355212,0.0521630305460055,-0.28954995330011,-0.707224445977245,13
"16","REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS",0.392712550607287,0.657581627006087,0.0931454575337804,-0.477065629180914,-1.07819253204321,10
"17","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.00480521952981221,0.0434335862354871,0.407017918923954,0.461891115836636,1.59952388650004,56
"18","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.422360248447205,0.681485946801296,0.0902635484340068,0.329064648808788,1.02242966588063,32
