"","pathway","pval","padj","log2err","ES","NES","size"
"1","CUI_B_CELL_41BBL_RESPONSE_UP",0.973300970873786,0.986556042461562,0.055826471778749,-0.227108033202105,-0.581511135571453,12
"2","CUI_B_CELL_CD40L_RESPONSE_UP",1.76407965062818e-25,7.06988844597908e-24,1.31101476274061,0.650879533924832,2.61592979805845,194
"3","CUI_B_CELL_EGF_RESPONSE_DN",0.217537942664418,0.410642275826673,0.118815039412263,0.480284603617867,1.20820805451366,15
"4","CUI_B_CELL_GM_CSF_RESPONSE_UP",0.0475382003395586,0.139928826988192,0.271288554688953,0.618255103259843,1.49604388971963,13
"5","CUI_B_CELL_IFNA1_RESPONSE_DN",0.0198822265203573,0.0729481691345502,0.352487857583619,0.342930199709365,1.36825119829809,177
"6","CUI_B_CELL_IFNA1_RESPONSE_UP",7.68768177401363e-22,2.00264110213055e-20,1.21254456769062,0.494872229767937,2.13235809727624,493
"7","CUI_B_CELL_IFNB_RESPONSE_DN",0.0179716748738258,0.0675747416718012,0.352487857583619,0.348115682088015,1.38371945348517,170
"8","CUI_B_CELL_IFNB_RESPONSE_UP",2.71204935361316e-09,3.71836240324331e-08,0.774939030136436,0.420150806154327,1.79497479627445,415
"9","CUI_B_CELL_IFNE_RESPONSE_UP",0.290220820189274,0.504016824395373,0.096240602328129,0.373422339812801,1.13307087375401,35
"10","CUI_B_CELL_IFNG_RESPONSE_UP",0.528378378378378,0.722533163084344,0.0570059526582387,0.260018905424988,0.971573468839444,109
"11","CUI_B_CELL_IFNK_RESPONSE_UP",0.783050847457627,0.890729550478998,0.0833634065110386,-0.222770164291224,-0.85745175586715,68
"12","CUI_B_CELL_IL10_RESPONSE_UP",0.000317148199642854,0.00209157230397376,0.49849310876659,0.633587363155696,1.852299401729,30
"13","CUI_B_CELL_IL12_RESPONSE_UP",0.615384615384615,0.771688531527719,0.0588438169595807,0.31551924907527,0.892079784980619,25
"14","CUI_B_CELL_IL15_RESPONSE_UP",0.917293233082707,0.961846153846154,0.080419996876154,-0.196517700294443,-0.813958145845025,101
"15","CUI_B_CELL_IL17E_RESPONSE_UP",0.578859060402685,0.746498936806432,0.0629394692018967,0.356700970003404,0.917165040397318,16
"16","CUI_B_CELL_IL18_RESPONSE_UP",0.5,0.691989461536787,0.0609039347452418,0.274857074056304,0.985368098306918,87
"17","CUI_B_CELL_IL1A_RESPONSE_DN",0.843492586490939,0.929090142836743,0.0445961615888961,0.262948211089,0.752530694706685,27
"18","CUI_B_CELL_IL1A_RESPONSE_UP",0.0473457675753228,0.139928826988192,0.248911114434702,0.417730838891556,1.39404597217026,53
"19","CUI_B_CELL_IL21_RESPONSE_UP",3.30275319138305e-23,1.22909600907898e-21,1.24623277191648,0.654510764209695,2.59564033923428,172
"20","CUI_B_CELL_IL23_RESPONSE_UP",0.923076923076923,0.961846153846154,0.0382416816260774,0.223417075513011,0.666542574581856,32
"21","CUI_B_CELL_IL27_RESPONSE_UP",0.253032928942808,0.456159709270598,0.110564716336619,0.514966726740639,1.19032461063871,10
"22","CUI_B_CELL_IL2_RESPONSE_UP",0.561969439728353,0.741224553144158,0.0649407684612899,0.379267689292587,0.91774593714237,13
"23","CUI_B_CELL_IL33_RESPONSE_UP",0.247154471544715,0.450133672404799,0.107972360317345,0.426723104069831,1.16986093120013,21
"24","CUI_B_CELL_IL36A_RESPONSE_UP",0.909983633387889,0.961846153846154,0.0408229003677776,0.24979937928016,0.70626745344268,25
"25","CUI_B_CELL_IL4_RESPONSE_DN",0.00776680357611718,0.0338861308128635,0.407017918923954,0.441108648706559,1.50833607805933,60
"26","CUI_B_CELL_IL5_RESPONSE_UP",3.54801024475417e-06,3.42317284725356e-05,0.627256739718528,0.66221980681639,2.08963638871104,40
"27","CUI_B_CELL_IL7_RESPONSE_UP",0.015665118269185,0.0600112251341571,0.352487857583619,0.534675737081244,1.54313972518227,28
"28","CUI_B_CELL_LTA1_B2_RESPONSE_DN",0.604819277108434,0.770140428677014,0.0789209638180035,-0.331820786750926,-0.892635682388062,14
"29","CUI_B_CELL_TNFA_RESPONSE_UP",0.571923743500866,0.741224553144158,0.0650877566917313,0.399807554695312,0.924138875700212,10
"30","CUI_CDC1_C5A_RESPONSE_DN",0.309692671394799,0.529016005890788,0.11776578836269,-0.44179913560254,-1.11055575118198,11
"31","CUI_CDC1_EGF_RESPONSE_DN",0.346733668341709,0.564525753768844,0.114266502484433,-0.371793587468715,-1.08376379720993,19
"32","CUI_CDC1_FLT3L_RESPONSE_DN",0.949526813880126,0.976973820818758,0.0371479221137289,0.209512626290872,0.635721619260657,35
"33","CUI_CDC1_FLT3L_RESPONSE_UP",4.6392564152548e-10,6.71403497874375e-09,0.814035837847908,0.591975521958019,2.18465216183619,102
"34","CUI_CDC1_GM_CSF_RESPONSE_DN",0.501404494382023,0.691989461536787,0.0613026075396207,0.275151797320251,0.97426152874906,82
"35","CUI_CDC1_GM_CSF_RESPONSE_UP",4.2857042655036e-19,9.70805183620599e-18,1.13308993200902,0.534682615567862,2.24609890172134,312
"36","CUI_CDC1_IFNA1_RESPONSE_DN",3.17177310805757e-22,9.7205517017529e-21,1.22105375677186,0.504908423943828,2.16847740023154,452
"37","CUI_CDC1_IFNB_RESPONSE_DN",6.33761302840186e-05,0.000473439487741218,0.538434096309916,0.403430871202322,1.64276384370124,213
"38","CUI_CDC1_IFNB_RESPONSE_UP",0.119241553397042,0.270108040521126,0.287805130535564,-0.218374367646027,-1.08281264733348,435
"39","CUI_CDC1_IFNE_RESPONSE_UP",0.0588235294117647,0.167975903544115,0.222056046145248,0.408368009114031,1.36280045729732,53
"40","CUI_CDC1_IFNG_RESPONSE_DN",0.0163938603140762,0.0623445344790782,0.352487857583619,0.446115116307895,1.47935128104073,51
"41","CUI_CDC1_IFNG_RESPONSE_UP",0.83495145631068,0.92555257178269,0.10027910675413,-0.193889489603768,-0.878575115871137,190
"42","CUI_CDC1_IFNK_RESPONSE_DN",0.186885245901639,0.367048477413242,0.127505315300183,0.422366411145233,1.22080564504514,29
"43","CUI_CDC1_IFNK_RESPONSE_UP",0.187256176853056,0.367048477413242,0.11146266692298,0.30080836578294,1.15443607993332,133
"44","CUI_CDC1_IFNL2_RESPONSE_UP",1.53565821384202e-05,0.000133346321568615,0.575610261071129,0.518247368866264,1.85321917148651,85
"45","CUI_CDC1_IL10_RESPONSE_DN",0.994318181818182,0.997385620915033,0.0299195667151671,0.171399518356137,0.587801202727483,63
"46","CUI_CDC1_IL10_RESPONSE_UP",0.0231785365888824,0.0815947132622143,0.352487857583619,0.381932688743913,1.36923631484102,87
"47","CUI_CDC1_IL11_RESPONSE_UP",0.0797227036395147,0.207677642980936,0.208955027549354,0.614320826900489,1.41997756576584,10
"48","CUI_CDC1_IL12_RESPONSE_UP",0.714876033057851,0.837888181941248,0.0439759278026345,0.245329495455175,0.869635737076698,77
