"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"O35887",9.151140266,22.7488366666667,24.0981680936584,1.82624391725336e-10,1.09900392132146e-06,13.1880245933797,"O35887","O35887","O35887","reviewed","CALU_MOUSE","Calumenin (Crocalbin)","Calu","Mus musculus (Mouse)",315,"","GO:0005509; GO:0005576; GO:0005783; GO:0005788; GO:0005789; GO:0005794; GO:0033018; GO:0042470","endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; sarcoplasmic reticulum lumen [GO:0033018]","calcium ion binding [GO:0005509]","","endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; sarcoplasmic reticulum lumen [GO:0033018]; calcium ion binding [GO:0005509]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O43852}. Golgi apparatus {ECO:0000250|UniProtKB:O43852}. Secreted {ECO:0000250|UniProtKB:O43852}. Melanosome {ECO:0000250|UniProtKB:O43852}. Sarcoplasmic reticulum lumen {ECO:0000250|UniProtKB:O43852}.",FALSE
"Q8BXA1",5.68039086,20.2738831333333,22.9523295999359,3.00520623823204e-10,1.09900392132146e-06,12.8674200134552,"Q8BXA1","Q8BXA1","Q8BXA1","reviewed","GOLI4_MOUSE","Golgi integral membrane protein 4 (Decapacitation factor 10) (Golgi phosphoprotein 4)","Golim4 Df10 Golph4","Mus musculus (Mouse)",655,"","GO:0000139; GO:0005794; GO:0010008; GO:0016020; GO:0032580","endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; membrane [GO:0016020]","","","endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; membrane [GO:0016020]","SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Endosome membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Membrane {ECO:0000250|UniProtKB:O00461}; Lipid-anchor {ECO:0000250|UniProtKB:O00461}. Note=Localizes to cis and medial Golgi cisternae. Probably cycles between early Golgi and distal compartments like endosome (By similarity). {ECO:0000250}.",FALSE
"Q6ZWQ7",6.289313835,21.4766236691667,21.4436123790545,6.01378339500886e-10,1.46616039170316e-06,12.4001955523849,"Q6ZWQ7","Q6ZWQ7","Q6ZWQ7","reviewed","SPCS3_MOUSE","Signal peptidase complex subunit 3 (Microsomal signal peptidase 22/23 kDa subunit) (SPC22/23) (SPase 22/23 kDa subunit)","Spcs3","Mus musculus (Mouse)",180,"signal peptide processing [GO:0006465]","GO:0005787; GO:0006465","signal peptidase complex [GO:0005787]","","","signal peptidase complex [GO:0005787]; signal peptide processing [GO:0006465]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P61008}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:P61008}.",FALSE
"Q8CJ53",4.853704025,19.1907420341667,18.5882464891379,2.56727245401702e-09,3.53186419624266e-06,11.3480926089159,"Q8CJ53","Q8CJ53","Q8CJ53","reviewed","CIP4_MOUSE","Cdc42-interacting protein 4 (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10)","Trip10 Cip4","Mus musculus (Mouse)",603,"endocytosis [GO:0006897]; signal transduction [GO:0007165]","GO:0001891; GO:0005654; GO:0005764; GO:0005794; GO:0005874; GO:0005938; GO:0006897; GO:0007165; GO:0008289; GO:0042802; GO:0042995","cell cortex [GO:0005938]; cell projection [GO:0042995]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; phagocytic cup [GO:0001891]","identical protein binding [GO:0042802]; lipid binding [GO:0008289]","","cell cortex [GO:0005938]; cell projection [GO:0042995]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; phagocytic cup [GO:0001891]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; endocytosis [GO:0006897]; signal transduction [GO:0007165]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Lysosome. Golgi apparatus {ECO:0000250}. Cell membrane. Cell projection, phagocytic cup {ECO:0000250}. Note=Localizes to cortical regions coincident with F-actin, to lysosomes and to sites of phagocytosis in macrophages. Also localizes to the Golgi, and this requires AKAP9 (By similarity). Translocates to the plasma membrane in response to insulin stimulation, and this may require active RHOQ. {ECO:0000250}.",FALSE
"Q6ZWR6",-5.217245614,12.61270062,-18.275493322502,3.04806573701788e-09,3.53186419624266e-06,11.2172975204956,"Q6ZWR6","Q6ZWR6","Q6ZWR6","reviewed","SYNE1_MOUSE","Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)","Syne1","Mus musculus (Mouse)",8799,"cell differentiation [GO:0030154]; centrosome localization [GO:0051642]; nuclear migration [GO:0007097]; regulation of cilium assembly [GO:1902017]; spermatogenesis [GO:0007283]","GO:0005635; GO:0005640; GO:0005856; GO:0007097; GO:0007283; GO:0030017; GO:0030154; GO:0042802; GO:0042803; GO:0051015; GO:0051642; GO:1902017","cytoskeleton [GO:0005856]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; sarcomere [GO:0030017]","actin filament binding [GO:0051015]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]","Q6ZWR6-5; Q6ZMZ3-1","cytoskeleton [GO:0005856]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; sarcomere [GO:0030017]; actin filament binding [GO:0051015]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; cell differentiation [GO:0030154]; centrosome localization [GO:0051642]; nuclear migration [GO:0007097]; regulation of cilium assembly [GO:1902017]; spermatogenesis [GO:0007283]","SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Nucleus. Nucleus envelope. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere {ECO:0000250}. Note=The largest part of the protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membrane. In skeletal and smooth muscles, a significant amount is found in the sarcomeres (By similarity). {ECO:0000250}.",FALSE
"Q8BSF4",6.142378801,21.3524374091667,18.1095252493144,3.34254985687803e-09,3.53186419624266e-06,11.1464951028528,"Q8BSF4","Q8BSF4","Q8BSF4","reviewed","PISD_MOUSE","Phosphatidylserine decarboxylase proenzyme, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase beta chain; Phosphatidylserine decarboxylase alpha chain]","Pisd","Mus musculus (Mouse)",406,"lipid droplet formation [GO:0140042]; mitochondrial protein catabolic process [GO:0035694]; phosphatidylethanolamine biosynthetic process [GO:0006646]; protein autoprocessing [GO:0016540]; regulation of mitochondrion organization [GO:0010821]","GO:0004609; GO:0005739; GO:0005743; GO:0005811; GO:0006646; GO:0010821; GO:0016540; GO:0035694; GO:0140042","lipid droplet [GO:0005811]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]","phosphatidylserine decarboxylase activity [GO:0004609]","","lipid droplet [GO:0005811]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; phosphatidylserine decarboxylase activity [GO:0004609]; lipid droplet formation [GO:0140042]; mitochondrial protein catabolic process [GO:0035694]; phosphatidylethanolamine biosynthetic process [GO:0006646]; protein autoprocessing [GO:0016540]; regulation of mitochondrion organization [GO:0010821]","SUBCELLULAR LOCATION: [Phosphatidylserine decarboxylase beta chain]: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03208, ECO:0000269|PubMed:6862014}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03208}; Intermembrane side {ECO:0000255|HAMAP-Rule:MF_03208}.; SUBCELLULAR LOCATION: [Phosphatidylserine decarboxylase alpha chain]: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03208, ECO:0000269|PubMed:6862014}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03208}; Intermembrane side {ECO:0000255|HAMAP-Rule:MF_03208}. Cytoplasm {ECO:0000250|UniProtKB:Q9UG56}. Note=Anchored to the mitochondrial inner membrane through its interaction with the integral membrane beta chain. {ECO:0000255|HAMAP-Rule:MF_03208}.; SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9UG56}. Lipid droplet {ECO:0000250|UniProtKB:Q9UG56}. Note=Predominantly localizes to lipid droplets in lipid-replete conditions, and to mitochondria in lipid-deplete conditions. {ECO:0000250|UniProtKB:Q9UG56}.",FALSE
"P34152",4.726536973,19.79445145,18.0894462953008,3.38023644704657e-09,3.53186419624266e-06,11.137862701256,"P34152","P34152","P34152","reviewed","FAK1_MOUSE","Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)","Ptk2 Fadk Fak Fak1 Kiaa4203","Mus musculus (Mouse)",1052,"angiogenesis [GO:0001525]; axonogenesis [GO:0007409]; blood vessel development [GO:0001568]; cell migration [GO:0016477]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system neuron axonogenesis [GO:0021955]; endothelial cell migration [GO:0043542]; ephrin receptor signaling pathway [GO:0048013]; extracellular matrix organization [GO:0030198]; integrin-mediated signaling pathway [GO:0007229]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of axonogenesis [GO:0050771]; negative regulation of organ growth [GO:0046621]; negative regulation of synapse assembly [GO:0051964]; neuron migration [GO:0001764]; nuclear migration [GO:0007097]; organ growth [GO:0035265]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein autophosphorylation [GO:0046777]; regulation of cell adhesion mediated by integrin [GO:0033628]; regulation of cell population proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of osteoblast differentiation [GO:0045667]; signal complex assembly [GO:0007172]; vasculogenesis [GO:0001570]","GO:0000226; GO:0001525; GO:0001568; GO:0001570; GO:0001764; GO:0001934; GO:0004713; GO:0004715; GO:0005524; GO:0005634; GO:0005813; GO:0005829; GO:0005925; GO:0005938; GO:0007097; GO:0007172; GO:0007229; GO:0007409; GO:0008284; GO:0008360; GO:0010507; GO:0010613; GO:0016324; GO:0016477; GO:0018108; GO:0021955; GO:0030027; GO:0030198; GO:0030335; GO:0033628; GO:0035265; GO:0036064; GO:0042127; GO:0043066; GO:0043542; GO:0045667; GO:0045860; GO:0046621; GO:0046777; GO:0048013; GO:0048471; GO:0050771; GO:0051897; GO:0051964; GO:0071560; GO:0098978; GO:1905274; GO:2000060","apical plasma membrane [GO:0016324]; cell cortex [GO:0005938]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]","ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]","Q61140; P54763; P11627; P97333; Q8VI36; P62993; P18031; P12931","apical plasma membrane [GO:0016324]; cell cortex [GO:0005938]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; angiogenesis [GO:0001525]; axonogenesis [GO:0007409]; blood vessel development [GO:0001568]; cell migration [GO:0016477]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system neuron axonogenesis [GO:0021955]; endothelial cell migration [GO:0043542]; ephrin receptor signaling pathway [GO:0048013]; extracellular matrix organization [GO:0030198]; integrin-mediated signaling pathway [GO:0007229]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of axonogenesis [GO:0050771]; negative regulation of organ growth [GO:0046621]; negative regulation of synapse assembly [GO:0051964]; neuron migration [GO:0001764]; nuclear migration [GO:0007097]; organ growth [GO:0035265]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein autophosphorylation [GO:0046777]; regulation of cell adhesion mediated by integrin [GO:0033628]; regulation of cell population proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of osteoblast differentiation [GO:0045667]; signal complex assembly [GO:0007172]; vasculogenesis [GO:0001570]","SUBCELLULAR LOCATION: Cell junction, focal adhesion {ECO:0000269|PubMed:1528852}. Cell membrane {ECO:0000250|UniProtKB:Q00944}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q00944}; Cytoplasmic side {ECO:0000250|UniProtKB:Q00944}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12941275}. Cytoplasm, cell cortex. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O35346}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus {ECO:0000269|PubMed:18206965}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q05397}. Cytoplasm {ECO:0000269|PubMed:18206965}. Note=Constituent of focal adhesions. Detected at microtubules. {ECO:0000269|PubMed:12941275}.",FALSE
"Q99JI6",5.140850854,20.3121851858333,17.160473660864,5.75413259004337e-09,4.96876020472727e-06,10.7221113108844,"Q99JI6","Q99JI6","Q99JI6","reviewed","RAP1B_MOUSE","Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B)","Rap1b","Mus musculus (Mouse)",184,"calcium-ion regulated exocytosis [GO:0017156]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; establishment of endothelial barrier [GO:0061028]; establishment of localization in cell [GO:0051649]; modification of postsynaptic structure [GO:0099010]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of integrin activation [GO:0033625]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; regulation of establishment of cell polarity [GO:2000114]; small GTPase-mediated signal transduction [GO:0007264]","GO:0003924; GO:0003925; GO:0005525; GO:0005811; GO:0005829; GO:0005886; GO:0005911; GO:0007264; GO:0008283; GO:0017156; GO:0019003; GO:0032486; GO:0033625; GO:0044877; GO:0045955; GO:0051649; GO:0061028; GO:0070374; GO:0071320; GO:0098978; GO:0099010; GO:1901888; GO:2000114; GO:2000301","cell-cell junction [GO:0005911]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; lipid droplet [GO:0005811]; plasma membrane [GO:0005886]","G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein-containing complex binding [GO:0044877]","","cell-cell junction [GO:0005911]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; lipid droplet [GO:0005811]; plasma membrane [GO:0005886]; G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein-containing complex binding [GO:0044877]; calcium-ion regulated exocytosis [GO:0017156]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; establishment of endothelial barrier [GO:0061028]; establishment of localization in cell [GO:0051649]; modification of postsynaptic structure [GO:0099010]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of integrin activation [GO:0033625]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; regulation of establishment of cell polarity [GO:2000114]; small GTPase-mediated signal transduction [GO:0007264]","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P61224}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P61224}. Cell junction {ECO:0000250|UniProtKB:P61224}. Note=May shuttle between plasma membrane and cytosol (By similarity). Presence of KRIT1 and CDH5 is required for its localization to the cell junction (By similarity). {ECO:0000250|UniProtKB:P61224}.",FALSE
"O55176",-6.018395419,12.8366571741667,-17.0573938325286,6.11414299187113e-09,4.96876020472727e-06,10.6739296343191,"O55176","O55176","O55176","reviewed","PJA1_MOUSE","E3 ubiquitin-protein ligase Praja-1 (Praja1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Praja-1)","Pja1","Mus musculus (Mouse)",578,"protein catabolic process [GO:0030163]","GO:0005737; GO:0008270; GO:0030163; GO:0061630","cytoplasm [GO:0005737]","ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]","Q9QYH6","cytoplasm [GO:0005737]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]","",FALSE
"Q91XA2",6.003023243,21.2982098875,16.6462091368645,7.81580156428772e-09,5.1265594130154e-06,10.4774455083913,"Q91XA2","Q91XA2","Q91XA2","reviewed","GOLM1_MOUSE","Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)","Golm1 Golph2","Mus musculus (Mouse)",393,"nucleus organization [GO:0006997]; regulation of lipid metabolic process [GO:0019216]","GO:0005794; GO:0006997; GO:0016020; GO:0019216","Golgi apparatus [GO:0005794]; membrane [GO:0016020]","","","Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus organization [GO:0006997]; regulation of lipid metabolic process [GO:0019216]","SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:Q8NBJ4}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q8NBJ4}. Note=Early Golgi. Cycles via the cell surface and endosomes upon lumenal pH disruption. {ECO:0000250|UniProtKB:Q8NBJ4}.",FALSE
