"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"Q8R2N0",2.92825267476842,11.8383410323704,4.89164574600014,5.18513180838382e-05,0.26118700382028,0.0170939398855241,"Q8R2N0","Q8R2N0","Q8R2N0","reviewed","TAP26_MOUSE","Thyroid transcription factor 1-associated protein 26 (TTF-1-associated protein 26) (Coiled-coil domain-containing protein 59)","Ccdc59 D10Ertd718e Tap26","Mus musculus (Mouse)",240,"","GO:0005634","nucleus [GO:0005634]","","","nucleus [GO:0005634]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.",FALSE
"Q812F8",-2.0340736132286,14.6420560485185,-4.3042884237302,0.000234329995457868,0.26118700382028,-0.777973145406885,"Q812F8","Q812F8","Q812F8","reviewed","MGT4B_MOUSE","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)","Mgat4b","Mus musculus (Mouse)",548,"protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]","GO:0000139; GO:0006486; GO:0006487; GO:0008375; GO:0008454; GO:0016757; GO:0046872","Golgi membrane [GO:0000139]","acetylglucosaminyltransferase activity [GO:0008375]; alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity [GO:0008454]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]","","Golgi membrane [GO:0000139]; acetylglucosaminyltransferase activity [GO:0008375]; alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity [GO:0008454]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9D4R2}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9D4R2}. Note=A processed soluble form also exists. {ECO:0000250|UniProtKB:Q9UQ53}.",FALSE
"Q400C8",-3.02085351457747,14.8065315062963,-4.13594136687936,0.000360649865955214,0.26118700382028,-1.01182333305218,"Q400C8","Q400C8","Q400C8","reviewed","AMZ2_MOUSE","Archaemetzincin-2 (EC 3.4.-.-) (Archeobacterial metalloproteinase-like protein 2)","Amz2","Mus musculus (Mouse)",359,"proteolysis [GO:0006508]","GO:0006508; GO:0008237; GO:0046872","","metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]","","metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]","",FALSE
"Q99KZ6",3.42237922887351,11.8442381598519,3.91159170215522,0.000639026529345075,0.26118700382028,-1.32621354402966,"Q99KZ6","Q99KZ6","Q99KZ6","reviewed","ZN639_MOUSE","Zinc finger protein 639 (Zinc finger protein ZASC1)","Znf639 Zasc1 Zfp639","Mus musculus (Mouse)",485,"negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of cell growth [GO:0030307]; symbiont entry into host cell [GO:0046718]","GO:0000976; GO:0000978; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0008270; GO:0030307; GO:0043922; GO:0043923; GO:0045892; GO:0046718","nucleoplasm [GO:0005654]; nucleus [GO:0005634]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]","","nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of cell growth [GO:0030307]; symbiont entry into host cell [GO:0046718]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.",FALSE
"Q9CX11",1.44312210666034,12.3714383659259,3.89858614783791,0.000660493661524205,0.26118700382028,-1.34451091111293,"Q9CX11","Q9CX11","Q9CX11","reviewed","UTP23_MOUSE","rRNA-processing protein UTP23 homolog","Utp23","Mus musculus (Mouse)",249,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]","GO:0000480; GO:0003730; GO:0005730; GO:0032040; GO:0048027","nucleolus [GO:0005730]; small-subunit processome [GO:0032040]","mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]","","nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.",FALSE
"Q5SSF7",2.30222033367768,12.4989040555926,3.79251067982559,0.000864268156064046,0.26118700382028,-1.49395153380645,"Q5SSF7","Q5SSF7","Q5SSF7","reviewed","TET5C_MOUSE","Terminal nucleotidyltransferase 5C (EC 2.7.7.19)","Tent5c Fam46c","Mus musculus (Mouse)",391,"in utero embryonic development [GO:0001701]; mRNA stabilization [GO:0048255]; negative regulation of cell differentiation [GO:0045596]","GO:0001701; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0045596; GO:0048255; GO:1990817","centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]","","centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]; in utero embryonic development [GO:0001701]; mRNA stabilization [GO:0048255]; negative regulation of cell differentiation [GO:0045596]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5VWP2}. Cytoplasm {ECO:0000269|PubMed:28931820}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5VWP2}. Note=Recruited into the centrosome through its interaction with PLK4. {ECO:0000250|UniProtKB:Q5VWP2}.",FALSE
"Q9QZ49",-2.8192260926896,14.8867802366667,-3.78752934545284,0.00087522638890921,0.26118700382028,-1.50097672957434,"Q9QZ49","Q9QZ49","Q9QZ49","reviewed","UBXN8_MOUSE","UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)","Ubxn8 D0H8S2298E Rep8 Ubxd6","Mus musculus (Mouse)",277,"ERAD pathway [GO:0036503]","GO:0005789; GO:0036503","endoplasmic reticulum membrane [GO:0005789]","","","endoplasmic reticulum membrane [GO:0005789]; ERAD pathway [GO:0036503]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.",FALSE
"Q9DAS9",-0.775963325197723,23.4760434203704,-3.75874814336988,0.000941267591112686,0.26118700382028,-1.54157691845045,"Q9DAS9","Q9DAS9","Q9DAS9","reviewed","GBG12_MOUSE","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12","Gng12","Mus musculus (Mouse)",72,"G protein-coupled receptor signaling pathway [GO:0007186]","GO:0005834; GO:0007186; GO:0030165; GO:0031681; GO:0045202","heterotrimeric G-protein complex [GO:0005834]; synapse [GO:0045202]","G-protein beta-subunit binding [GO:0031681]; PDZ domain binding [GO:0030165]","","heterotrimeric G-protein complex [GO:0005834]; synapse [GO:0045202]; G-protein beta-subunit binding [GO:0031681]; PDZ domain binding [GO:0030165]; G protein-coupled receptor signaling pathway [GO:0007186]","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.",FALSE
"Q9D8W7",-1.36259528891657,22.0153824881481,-3.73527127928049,0.000998742775941739,0.26118700382028,-1.57470546250798,"Q9D8W7","Q9D8W7","Q9D8W7","reviewed","OCAD2_MOUSE","OCIA domain-containing protein 2","Ociad2","Mus musculus (Mouse)",154,"response to bacterium [GO:0009617]","GO:0005739; GO:0005743; GO:0005768; GO:0009617","endosome [GO:0005768]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]","","","endosome [GO:0005768]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; response to bacterium [GO:0009617]","SUBCELLULAR LOCATION: Endosome {ECO:0000250|UniProtKB:Q56VL3}. Mitochondrion {ECO:0000250|UniProtKB:Q56VL3}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q56VL3}.",FALSE
"Q99KG7",2.2947083547806,11.9481985048148,3.72948573672253,0.001013427856071,0.26118700382028,-1.58287080064819,"Q99KG7","Q99KG7","Q99KG7","reviewed","HPS4_MOUSE","BLOC-3 complex member HPS4 (Hermansky-Pudlak syndrome 4 protein homolog) (Light-ear protein) (Le protein)","Hps4 Le","Mus musculus (Mouse)",671,"blood coagulation [GO:0007596]; intracellular transport [GO:0046907]; lysosome organization [GO:0007040]; melanocyte differentiation [GO:0030318]; melanosome assembly [GO:1903232]; platelet dense granule organization [GO:0060155]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; vesicle-mediated transport [GO:0016192]","GO:0005085; GO:0005737; GO:0005764; GO:0006605; GO:0007040; GO:0007596; GO:0016020; GO:0016192; GO:0030318; GO:0031085; GO:0031267; GO:0031410; GO:0042470; GO:0042803; GO:0042827; GO:0046907; GO:0046983; GO:0050821; GO:0060155; GO:1903232","BLOC-3 complex [GO:0031085]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane [GO:0016020]; platelet dense granule [GO:0042827]","guanyl-nucleotide exchange factor activity [GO:0005085]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]","","BLOC-3 complex [GO:0031085]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane [GO:0016020]; platelet dense granule [GO:0042827]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; blood coagulation [GO:0007596]; intracellular transport [GO:0046907]; lysosome organization [GO:0007040]; melanocyte differentiation [GO:0030318]; melanosome assembly [GO:1903232]; platelet dense granule organization [GO:0060155]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; vesicle-mediated transport [GO:0016192]","",FALSE
