"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"P31532",-3.6038772105,13.6642125542857,-7.54915787788594,3.49570998840438e-06,0.0299442517606719,3.95767745299099,"P31532","P31532","P31532","reviewed","SAA4_MOUSE","Serum amyloid A-4 protein (Amyloid A-5 protein)","Saa4 Saa5","Mus musculus (Mouse)",130,"acute-phase response [GO:0006953]","GO:0006953; GO:0034364","high-density lipoprotein particle [GO:0034364]","","","high-density lipoprotein particle [GO:0034364]; acute-phase response [GO:0006953]","SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0DJI8}.",FALSE
"Q9D4J3",-2.1824788875,14.7893760028571,-6.28521911169442,2.45015006528707e-05,0.104939927296245,2.49188896518613,"Q9D4J3","Q9D4J3","Q9D4J3","reviewed","DCBD1_MOUSE","Discoidin, CUB and LCCL domain-containing protein 1","Dcbld1","Mus musculus (Mouse)",503,"","GO:0016020","membrane [GO:0016020]","","","membrane [GO:0016020]","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.",FALSE
"Q8K0L9",-4.5007922232,13.8034696402857,-5.41416975650511,0.000106421298400025,0.119727400302637,1.31908277825098,"Q8K0L9","Q8K0L9","Q8K0L9","reviewed","ZBT20_MOUSE","Zinc finger and BTB domain-containing protein 20 (BTB/POZ domain zinc finger factor HOF) (Zinc finger protein 288)","Zbtb20 Zfp288","Mus musculus (Mouse)",741,"cellular response to glucose stimulus [GO:0071333]; lipid homeostasis [GO:0055088]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of tumor necrosis factor production [GO:0032760]","GO:0000122; GO:0000976; GO:0001227; GO:0003677; GO:0005634; GO:0005737; GO:0008270; GO:0010629; GO:0016604; GO:0032728; GO:0032755; GO:0032760; GO:0045821; GO:0045892; GO:0046889; GO:0055088; GO:0071333","cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]","","cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; cellular response to glucose stimulus [GO:0071333]; lipid homeostasis [GO:0055088]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of tumor necrosis factor production [GO:0032760]","SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:11744704}.",FALSE
"Q8BPG6",-2.8444536255,15.4538884128571,-5.28479109304053,0.000133554240480286,0.119727400302637,1.13332325444275,"Q8BPG6","Q8BPG6","Q8BPG6","reviewed","SUMF2_MOUSE","Inactive C-alpha-formylglycine-generating enzyme 2 (Sulfatase-modifying factor 2)","Sumf2","Mus musculus (Mouse)",308,"negative regulation of post-translational protein modification [GO:1901874]","GO:0004857; GO:0005788; GO:0042802; GO:0046872; GO:1901874","endoplasmic reticulum lumen [GO:0005788]","enzyme inhibitor activity [GO:0004857]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]","","endoplasmic reticulum lumen [GO:0005788]; enzyme inhibitor activity [GO:0004857]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; negative regulation of post-translational protein modification [GO:1901874]","SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000250|UniProtKB:Q8NBJ7}.",FALSE
"P01864",-3.086015698,18.38255986,-5.24840513884874,0.000142421023929154,0.119727400302637,1.08055031740103,"P01864","P01864","P01864","reviewed","GCAB_MOUSE","Ig gamma-2A chain C region secreted form (B allele)","","Mus musculus (Mouse)",335,"antibacterial humoral response [GO:0019731]; complement activation, classical pathway [GO:0006958]","GO:0003823; GO:0006958; GO:0019731; GO:0034987; GO:0042571","immunoglobulin complex, circulating [GO:0042571]","antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]","","immunoglobulin complex, circulating [GO:0042571]; antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]; antibacterial humoral response [GO:0019731]; complement activation, classical pathway [GO:0006958]","SUBCELLULAR LOCATION: [Isoform Secreted]: Secreted {ECO:0000305}.",FALSE
"Q9D6F9",-2.85825685950001,21.6755175185714,-5.13902385014162,0.000172966498111125,0.119727400302637,0.920517195905884,"Q9D6F9","Q9D6F9","Q9D6F9","reviewed","TBB4A_MOUSE","Tubulin beta-4A chain (Tubulin beta-4 chain)","Tubb4a Tubb4","Mus musculus (Mouse)",444,"cell projection organization [GO:0030030]; microtubule-based process [GO:0007017]; negative regulation of microtubule polymerization [GO:0031115]","GO:0003924; GO:0005200; GO:0005509; GO:0005525; GO:0005737; GO:0005874; GO:0005929; GO:0005930; GO:0007017; GO:0030030; GO:0031115; GO:0033269; GO:0042995; GO:0043025; GO:0043209; GO:0045171; GO:0072686","axoneme [GO:0005930]; cell projection [GO:0042995]; cilium [GO:0005929]; cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; internode region of axon [GO:0033269]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]","calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]","","axoneme [GO:0005930]; cell projection [GO:0042995]; cilium [GO:0005929]; cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; internode region of axon [GO:0033269]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; cell projection organization [GO:0030030]; microtubule-based process [GO:0007017]; negative regulation of microtubule polymerization [GO:0031115]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",FALSE
"Q9JHQ5",-3.303184778,15.4404907907143,-5.08530448157338,0.000190397538894085,0.119727400302637,0.841163641767189,"Q9JHQ5","Q9JHQ5","Q9JHQ5","reviewed","LZTL1_MOUSE","Leucine zipper transcription factor-like protein 1","Lztfl1","Mus musculus (Mouse)",299,"flagellated sperm motility [GO:0030317]; negative regulation of protein localization to ciliary membrane [GO:1903568]; spermatogenesis [GO:0007283]","GO:0002177; GO:0005737; GO:0005829; GO:0005929; GO:0007283; GO:0030317; GO:0042802; GO:0044877; GO:1903568","cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; manchette [GO:0002177]","identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]","","cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; manchette [GO:0002177]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; flagellated sperm motility [GO:0030317]; negative regulation of protein localization to ciliary membrane [GO:1903568]; spermatogenesis [GO:0007283]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22072986, ECO:0000269|PubMed:22093827}.",FALSE
"Q91YL7",4.9274594225,18.9654711564286,4.95201970562579,0.000242012392019728,0.119727400302637,0.642150121136751,"Q91YL7","Q91YL7","Q91YL7","reviewed","PG2IP_MOUSE","PGAP2-interacting protein (Cell wall biogenesis protein 43 C-terminal homolog)","Cwh43 Pgap2ip","Mus musculus (Mouse)",699,"brain development [GO:0007420]; cell adhesion [GO:0007155]; cerebrospinal fluid circulation [GO:0090660]; cilium organization [GO:0044782]; gene expression [GO:0010467]; GPI anchor biosynthetic process [GO:0006506]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein proteolysis [GO:0033619]; neuromuscular process controlling balance [GO:0050885]; peptide secretion [GO:0002790]; protein glycosylation [GO:0006486]; protein import into nucleus [GO:0006606]; protein localization [GO:0008104]; protein localization to extracellular region [GO:0071692]; protein modification process [GO:0036211]; protein N-linked glycosylation [GO:0006487]; protein targeting to membrane [GO:0006612]; proteolysis [GO:0006508]; regulation of intracellular signal transduction [GO:1902531]; regulation of protein import into nucleus [GO:0042306]; regulation of protein localization [GO:0032880]; regulation of protein localization to nucleus [GO:1900180]; regulation of protein processing [GO:0070613]; walking behavior [GO:0090659]","GO:0002790; GO:0005576; GO:0006486; GO:0006487; GO:0006506; GO:0006508; GO:0006509; GO:0006606; GO:0006612; GO:0007155; GO:0007420; GO:0008104; GO:0010467; GO:0016020; GO:0032880; GO:0033619; GO:0036211; GO:0042306; GO:0044782; GO:0050885; GO:0070613; GO:0071692; GO:0090659; GO:0090660; GO:1900180; GO:1902531","extracellular region [GO:0005576]; membrane [GO:0016020]","","","extracellular region [GO:0005576]; membrane [GO:0016020]; brain development [GO:0007420]; cell adhesion [GO:0007155]; cerebrospinal fluid circulation [GO:0090660]; cilium organization [GO:0044782]; gene expression [GO:0010467]; GPI anchor biosynthetic process [GO:0006506]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein proteolysis [GO:0033619]; neuromuscular process controlling balance [GO:0050885]; peptide secretion [GO:0002790]; protein glycosylation [GO:0006486]; protein import into nucleus [GO:0006606]; protein localization [GO:0008104]; protein localization to extracellular region [GO:0071692]; protein modification process [GO:0036211]; protein N-linked glycosylation [GO:0006487]; protein targeting to membrane [GO:0006612]; proteolysis [GO:0006508]; regulation of intracellular signal transduction [GO:1902531]; regulation of protein import into nucleus [GO:0042306]; regulation of protein localization [GO:0032880]; regulation of protein localization to nucleus [GO:1900180]; regulation of protein processing [GO:0070613]; walking behavior [GO:0090659]","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.",FALSE
"Q9CQG0",-3.4481752015,13.9967402842857,-4.9398414064013,0.000247403879920553,0.119727400302637,0.62381659404268,"Q9CQG0","Q9CQG0","Q9CQG0","reviewed","TMED6_MOUSE","Transmembrane emp24 domain-containing protein 6 (p24 family protein gamma-5) (p24gamma5)","Tmed6","Mus musculus (Mouse)",239,"","GO:0005789","endoplasmic reticulum membrane [GO:0005789]","","","endoplasmic reticulum membrane [GO:0005789]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.",FALSE
"P61205",-3.949284543,15.7600058757143,-4.87518040042098,0.000278196743408863,0.119727400302637,0.526060101546189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
